name,address,category,monthly_price,notes,lat,lng
Snap Fitness,"1960 Cliff Lake Rd #115, St Paul, MN 55122",Full-Service,50,,44.798162678333405, -93.20423344942304
Snap Fitness,"6502 Cahill Ave E, Inver Grove Heights, MN 55076",Full-Service,45,,44.8666697257883, -93.04129119569201
Snap Fitness,"2800 Rice St, St Paul, MN 55113",Full-Service,50,,45.03542647539916, -93.1045357795641

Planet Fitness,"5045 51st Ct NE, Columbia Heights, MN 55421",Full-Service,20,,45.06687199336045, -93.24913572000449
Planet Fitness,"203 Willow Bend, Crystal, MN 55428",Full-Service,20,,45.0565462969945, -93.37123326350597
Planet Fitness,"8081 Brooklyn Blvd, Brooklyn Park, MN 55428",Full-Service,20,,45.09727617179315, -93.38290623705439
Planet Fitness,"12059 Elm Creek Blvd N, Maple Grove, MN 55369",Full-Service,20,,45.09703381795113, -93.43337468151383
Planet Fitness,"12431 Wayzata Blvd, Minnetonka, MN 55305",Full-Service,20,,44.97020253339481, -93.43556881148731
Planet Fitness,"11323 MN-7, Minnetonka, MN 55343",Full-Service,20,,44.94019751856953, -93.42309951893151
Planet Fitness,"3441 Hazelton Rd, Edina, MN 55435",Full-Service,20,,44.877753178340164, -93.32595488401108
Planet Fitness,"11609 Leona Rd, Eden Prairie, MN 55344",Full-Service,20,,44.86298710858593, -93.42275139145607
Planet Fitness,"12658 Riverdale Blvd, Coon Rapids, MN 55448",Full-Service,20,,45.20561387759352, -93.35033075549539
Planet Fitness,"4900 County Rd 101, Minnetonka, MN 55345",Full-Service,20,,44.92349458409597, -93.50730347261492
Planet Fitness,"1633 17th Ave E, Shakopee, MN 55379",Full-Service,20,,44.78753796762172, -93.50180133449715
Planet Fitness,"10590 France Ave S, Bloomington, MN 55431",Full-Service,20,,44.82601726591005, -93.33752322398544
Planet Fitness,"14232 Burnhaven Dr, Burnsville, MN 55306",Full-Service,20,,44.7613615832388, -93.30783493482912
Planet Fitness,"18350 Orchard Trail, Lakeville, MN 55044",Full-Service,20,,44.70184989881885, -93.28311569672654
Planet Fitness,"7382 153rd St W, Apple Valley, MN 55124",Full-Service,20,,44.74770857826032, -93.21445114644158
Planet Fitness,"3400 150th St W, Rosemount, MN 55068",Full-Service,20,,44.746379918646475, -93.13645960940434
Planet Fitness,"1278 Town Centre Dr Space #135, Eagan, MN 55123",Full-Service,20,,44.838968546537174, -93.16146614511156
Planet Fitness,"2401 7th St W, St Paul, MN 55116",Full-Service,20,,44.91370245374362, -93.1723385522927
Planet Fitness,"1675 S Robert St, West St Paul, MN 55118",Full-Service,20,,44.908312534602565, -93.07883585053489
Planet Fitness,"2167 Old Hudson Rd, St Paul, MN 55119",Full-Service,20,,44.97603475303598, -93.00816520385746
Planet Fitness,"2852 26th Ave S, Minneapolis, MN 55406",Full-Service,20,,44.95799590824254, -93.23309711107542
Planet Fitness,"575 SE 9th St Ste 150, Minneapolis, MN 55414",Full-Service,20,,44.99928148252048, -93.2468300211324
Planet Fitness,"1750 Highway 36 W, Roseville, MN 55113",Full-Service,20,,45.01627278562529, -93.17470550756966
Planet Fitness,"1930 Buerkle Rd, White Bear Lake, MN 55110",Full-Service,20,,45.04781468951617, -93.02021026756738
Planet Fitness,"2553 Mounds View Blvd, Mounds View, MN 55112",Full-Service,20,,45.114722946312234, -93.20869446022127
Planet Fitness,"60 Coon Rapids Blvd NW, Coon Rapids, MN 55448",Full-Service,20,,45.14475766813227, -93.2711792013975

LA Fitness,"3555 MN-100, St Louis Park, MN 55416",Full-Service,30,,44.94359968522247, -93.34652785825179
LA Fitness,"6501 Lyndale Ave S, Richfield, MN 55423",Full-Service,30,,44.889140827366916, -93.28541640849818
LA Fitness,"4175 W 76th St, Edina, MN 55435",Full-Service,30,,44.87211184914427, -93.33416823942886
LA Fitness,"6600 96th Ln N, Brooklyn Park, MN 55445",Full-Service,30,,45.14475766809462, -93.36490631542233
LA Fitness,"15135 Galaxie Ave, Apple Valley, MN 55124",Full-Service,30,,44.74331942940095, -93.20285797355358
LA Fitness,"1611 S Robert St, West St Paul, MN 55118",Full-Service,30,,44.91279057556604, -93.07651520102924
LA Fitness,"1370 University Ave W, St Paul, MN 55104",Full-Service,30,,44.96722702616515, -93.1685256984111
LA Fitness,"1940 County Rd D E, Maplewood, MN 55109",Full-Service,30,,45.0458741486266, -93.02707672477445
LA Fitness,"1101 Silver Lake Rd NW, New Brighton, MN 55112",Full-Service,30,,45.090489872641655, -93.22208404758372

Los Campeones,"6440 James Cir N, Brooklyn Center, MN 55430",Full-Service,80,,45.076397769132235, -93.30340066590205
Los Campeones,"2746 Blaisdell Ave, Minneapolis, MN 55408",Full-Service,80,,44.9590600910991, -93.28170004246999
Los Campeones,"12990 Valley View Rd, Eden Prairie, MN 55344",Full-Service,80,,44.876308743096565, -93.4404922180657
Los Campeones,"14301 W Burnsville Pkwy, Burnsville, MN 55306",Full-Service,80,,44.757948634367324, -93.3243552701761
Los Campeones,"2721 E Franklin Ave, Minneapolis, MN 55406",Full-Service,80,,44.985927638173465, -93.22836735061831
